,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
55,2000-2001,E0,2000-09-16,Sunderland,Derby,2.0,1.0,H,1.0,0.0,H,Paul Taylor,15.0,10.0,8.0,5.0,16.0,28.0,2.0,3.0,0.0,0.0,0.0,5.0,1.65,3.4,4.1,0.04802689738127327,0.5580337086793328,0.24609074967755026,0.195875541643117
56,2000-2001,E0,2000-09-17,Chelsea,Leicester,0.0,2.0,A,0.0,1.0,A,Graham Barber,16.0,7.0,10.0,5.0,16.0,17.0,3.0,1.0,0.0,0.0,1.0,4.0,1.45,3.65,6.2,0.041639365911388136,0.648015806502405,0.23233323682833787,0.11965095666925701
57,2000-2001,E0,2000-09-17,Man City,Middlesbrough,1.0,1.0,D,0.0,0.0,D,Steve Lodge,11.0,4.0,4.0,2.0,15.0,11.0,2.0,5.0,0.0,0.0,3.0,2.0,2.1,3.3,2.9,0.04134945514255861,0.43484102104791755,0.2616808478877444,0.30347813106433796
58,2000-2001,E0,2000-09-17,West Ham,Liverpool,1.0,1.0,D,0.0,1.0,A,David Ellaray,15.0,7.0,4.0,2.0,5.0,13.0,0.0,2.0,0.0,0.0,6.0,3.0,3.0,3.3,2.0,0.045454545454545414,0.2878787878787879,0.2575757575757576,0.4545454545454546
59,2000-2001,E0,2000-09-23,Bradford,Southampton,0.0,1.0,A,0.0,1.0,A,Steve Dunn,14.0,6.0,6.0,4.0,14.0,18.0,3.0,1.0,0.0,0.0,5.0,6.0,2.05,3.2,3.1,0.040961841070023576,0.44684303697875694,0.2715381589299764,0.2816188040912667
60,2000-2001,E0,2000-09-23,Coventry,West Ham,0.0,3.0,A,0.0,2.0,A,Neale Barry,9.0,12.0,2.0,10.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,6.0,2.2,3.15,2.85,0.040960988329409385,0.41358446621604517,0.2764993291309081,0.30991620465304676
61,2000-2001,E0,2000-09-23,Derby,Leeds,1.0,1.0,D,0.0,1.0,A,Barry Knight,13.0,16.0,7.0,6.0,17.0,15.0,2.0,2.0,1.0,0.0,3.0,3.0,2.75,3.05,2.25,0.04531655351327483,0.3183198101230888,0.2825522989457416,0.39912789093116957
62,2000-2001,E0,2000-09-23,Ipswich,Arsenal,1.0,1.0,D,0.0,0.0,D,Paul Durkin,17.0,10.0,6.0,4.0,8.0,13.0,1.0,2.0,0.0,0.0,1.0,6.0,4.2,3.25,1.75,0.03907203907203908,0.199023199023199,0.2686202686202686,0.5323565323565324
63,2000-2001,E0,2000-09-23,Liverpool,Sunderland,1.0,1.0,D,1.0,1.0,D,Mike Riley,11.0,8.0,6.0,3.0,14.0,18.0,2.0,2.0,0.0,0.0,8.0,5.0,1.33,4.1,7.5,0.04303849053528127,0.708841208712839,0.200863948489109,0.09029484279805206
64,2000-2001,E0,2000-09-23,Man United,Chelsea,3.0,3.0,D,3.0,2.0,H,Peter Jones,11.0,13.0,5.0,5.0,15.0,19.0,3.0,2.0,0.0,0.0,3.0,6.0,1.55,3.5,5.1,0.042318002469805105,0.6028432878527755,0.2433962832444806,0.15376042890274394
65,2000-2001,E0,2000-09-23,Middlesbrough,Aston Villa,1.0,1.0,D,0.0,0.0,D,Mark Halsey,12.0,15.0,5.0,7.0,7.0,14.0,3.0,0.0,0.0,0.0,6.0,2.0,2.3,3.35,2.6,0.039301818665868016,0.3954807900297842,0.2592056440206991,0.34531356594951657
66,2000-2001,E0,2000-09-23,Newcastle,Charlton,0.0,1.0,A,0.0,1.0,A,Andy D'Urso,12.0,4.0,5.0,2.0,14.0,10.0,1.0,2.0,0.0,0.0,3.0,11.0,1.45,3.7,6.3,0.03955186713807398,0.6501033052757191,0.23071840313219624,0.11917829159208473
67,2000-2001,E0,2000-09-23,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D,Steve Bennett,18.0,7.0,5.0,2.0,10.0,14.0,0.0,2.0,0.0,0.0,2.0,4.0,1.55,3.5,5.2,0.041061089448186205,0.6041002008743944,0.2446531962660995,0.15124660285950609
68,2000-2001,E0,2000-09-24,Leicester,Everton,1.0,1.0,D,1.0,0.0,H,Alan Wiley,10.0,9.0,4.0,3.0,14.0,13.0,3.0,1.0,0.0,0.0,1.0,1.0,1.85,3.25,3.65,0.04073515032419136,0.4998053902163491,0.26695715736811637,0.23323745241553465
69,2000-2001,E0,2000-09-30,Aston Villa,Derby,4.0,1.0,H,2.0,0.0,H,David Ellaray,12.0,11.0,7.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.5,3.45,5.3,0.04840032813781788,0.6182663385288487,0.24145474432595024,0.140278917145201
70,2000-2001,E0,2000-09-30,Charlton,Coventry,2.0,2.0,D,0.0,1.0,A,Rob Styles,12.0,10.0,8.0,6.0,8.0,16.0,1.0,2.0,0.0,0.0,5.0,0.0,1.8,3.3,3.7,0.04295204295204291,0.5126035126035127,0.2600782600782601,0.22731822731822732
71,2000-2001,E0,2000-09-30,Everton,Ipswich,0.0,3.0,A,0.0,1.0,A,Jeff Winter,7.0,9.0,3.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,1.7,3.2,4.3,0.044431144550843626,0.5438041495668035,0.2680688554491564,0.1881269949840401
72,2000-2001,E0,2000-09-30,Leeds,Tottenham,4.0,3.0,H,0.0,1.0,A,Neale Barry,14.0,10.0,7.0,5.0,11.0,20.0,0.0,2.0,0.0,0.0,4.0,1.0,1.66,3.4,4.2,0.04487417456942618,0.5575354639847907,0.24924347248939735,0.1932210635258119
73,2000-2001,E0,2000-09-30,Man City,Newcastle,0.0,1.0,A,0.0,0.0,D,Paul Taylor,9.0,15.0,7.0,9.0,16.0,12.0,0.0,1.0,0.0,0.0,7.0,8.0,2.4,3.3,2.5,0.03989898989898988,0.3767676767676768,0.26313131313131316,0.36010101010101014
74,2000-2001,E0,2000-09-30,Southampton,Middlesbrough,1.0,3.0,A,0.0,2.0,A,Graham Poll,16.0,7.0,8.0,5.0,6.0,22.0,2.0,2.0,0.0,0.0,5.0,1.0,2.15,3.2,2.85,0.04283115735074117,0.42228512171902627,0.26966884264925883,0.30804603563171495
75,2000-2001,E0,2000-09-30,West Ham,Bradford,1.0,1.0,D,1.0,0.0,H,Mike Dean,14.0,9.0,6.0,6.0,14.0,10.0,3.0,2.0,0.0,0.0,8.0,0.0,1.5,3.55,6.1,0.03743041124708172,0.6292362554195849,0.24425972959798872,0.1265040149824265
76,2000-2001,E0,2000-10-01,Arsenal,Man United,1.0,0.0,H,1.0,0.0,H,Graham Barber,7.0,13.0,5.0,4.0,18.0,17.0,2.0,3.0,0.0,0.0,8.0,1.0,2.55,3.2,2.45,0.03760670935040681,0.35455015339469126,0.27489329064959317,0.37055655595571557
77,2000-2001,E0,2000-10-01,Chelsea,Liverpool,3.0,0.0,H,2.0,0.0,H,Dermot Gallagher,11.0,10.0,5.0,2.0,14.0,14.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,3.3,3.15,0.040163540163540144,0.4598364598364599,0.2628667628667629,0.2772967772967773
